timstamp,open,high,low,close
1630022400000,3093.06000000,3280.00000000,3060.18000000,3273.45000000
1630108800000,3273.89000000,3287.00000000,3210.31000000,3244.48000000
1630195200000,3244.75000000,3285.00000000,3152.34000000,3223.47000000
1630281600000,3223.47000000,3347.95000000,3143.00000000,3229.64000000
1630368000000,3229.14000000,3476.00000000,3188.77000000,3429.20000000
1630454400000,3429.19000000,3842.00000000,3382.22000000,3826.82000000
1630540800000,3826.82000000,3836.80000000,3717.04000000,3785.82000000
1630627200000,3785.82000000,4027.88000000,3705.05000000,3938.11000000
1630713600000,3938.11000000,3970.00000000,3832.50000000,3885.52000000
1630800000000,3885.61000000,3980.00000000,3830.00000000,3950.29000000
1630886400000,3950.28000000,3970.00000000,3864.30000000,3926.77000000
1630972800000,3926.67000000,3947.15000000,3005.00000000,3434.57000000
1631059200000,3434.84000000,3560.00000000,3215.16000000,3499.00000000
1631145600000,3499.01000000,3567.06000000,3390.40000000,3424.93000000
1631232000000,3424.94000000,3514.11000000,3150.00000000,3208.86000000
1631318400000,3208.85000000,3348.37000000,3200.00000000,3267.21000000
1631404800000,3267.10000000,3474.16000000,3231.10000000,3404.21000000
1631491200000,3404.30000000,3430.30000000,3108.49000000,3285.35000000
1631577600000,3285.09000000,3437.05000000,3269.95000000,3434.37000000
1631664000000,3434.37000000,3616.16000000,3357.78000000,3613.55000000
1631750400000,3613.55000000,3676.28000000,3481.14000000,3567.98000000
1631836800000,3567.97000000,3594.17000000,3350.07000000,3399.81000000
1631923200000,3399.89000000,3541.96000000,3368.88000000,3435.64000000
1632009600000,3435.64000000,3456.53000000,3277.74000000,3328.62000000
1632096000000,3328.57000000,3347.82000000,2913.39000000,2977.28000000
1632182400000,2977.32000000,3105.83000000,2652.00000000,2765.90000000
1632268800000,2766.72000000,3088.88000000,2737.54000000,3076.92000000
1632355200000,3076.92000000,3174.50000000,3033.85000000,3152.50000000
1632441600000,3152.41000000,3158.52000000,2733.00000000,2928.53000000
1632528000000,2928.22000000,2967.52000000,2801.57000000,2921.73000000
1632614400000,2921.84000000,3115.51000000,2738.17000000,3059.37000000
1632700800000,3059.36000000,3164.94000000,2922.71000000,2925.59000000
1632787200000,2924.76000000,2970.82000000,2789.00000000,2804.91000000
1632873600000,2805.15000000,2950.00000000,2782.00000000,2850.45000000
1632960000000,2850.45000000,3048.42000000,2837.19000000,3000.61000000
1633046400000,3000.62000000,3330.00000000,2969.07000000,3309.91000000
1633132800000,3309.91000000,3469.00000000,3257.00000000,3387.76000000
1633219200000,3387.77000000,3488.00000000,3342.51000000,3417.73000000
1633305600000,3417.73000000,3437.19000000,3270.00000000,3386.31000000
1633392000000,3386.31000000,3545.00000000,3363.78000000,3515.27000000
1633478400000,3515.48000000,3632.11000000,3342.00000000,3574.89000000
1633564800000,3574.88000000,3653.98000000,3470.80000000,3587.47000000
1633651200000,3587.47000000,3695.00000000,3532.00000000,3563.13000000
1633737600000,3563.13000000,3635.00000000,3538.07000000,3574.82000000
1633824000000,3574.83000000,3604.00000000,3405.00000000,3414.22000000
1633910400000,3414.22000000,3623.80000000,3371.00000000,3542.12000000
1633996800000,3542.12000000,3547.11000000,3403.21000000,3491.46000000
1634083200000,3491.43000000,3613.00000000,3412.70000000,3607.42000000
